|r|English|French|Italian|German|Spanish|Korean|Japanese|
|PURCHASE_POINTS|UNLOCK SPECIAL LEVELS\nAND UPGRADE YOUR EQUIPMENT\nWITH HONOR POINTS|Débloquer des niveaux SPÉCIALES \ Net Améliorez votre équipement \ Nwith points d'honneur|Debloquer des Niveaux SPÉCIALES \ Net Améliorez Votre équipement \ Nwith les points d'honneur|Debloquer des Niveaux SPECIALES \ Net Améliorez Votre Farming \ Nwith les Punkte d'honneur|Débloquer des Niveaux SPECIALES \ Net Améliorez Votre Farming \ Nwith les Punkte d'honneur|\ nwith를 명예 포인트 \ 낸드 장비를 업그레이드 SPECIAL 레벨을 해제|\ NANDは、お使いの装置\ Nwithの累積ポイントをアップグレードSPECIALレベルのロックを解除|
|QUIT|QUIT|QUITTER|CESSARE|VERLASSEN|SALIR|QUIT|QUIT|
|QUIT_TO_MENU_WORD|QUIT TO MENU|QUITTER|VAI AL MENU|VERLASSEN|SALIR|메뉴로 QUIT|メニューにQUIT|
|RANGE|RANGE|PORTÉE|PORTATA|REICHWE.|ALCANCE|범위|RANGE|
|RANGED_WEAPON|RANGED WEAPON|ARME À DISTANCE|ARMA A LUNGO RAGGIO|DISTANZWAFFEN|ARMA DE DISTANCIA|RANGED 무기|遠隔武器|
|RANGED_WEAPON_SELECT|RANGED WEAPON SELECT|ICÔNE D'|ICONA DELL'ARMA A LUNGO RAGGIO|WAFFENSYMBOL|ICONO DE ARMA DE DISTANCIA|무기 선택 RANGED|武器はSELECTであった|
|RESTART|RESTART|RECOMM.|RICOMINCIA|NEUSTART|REINICIO|RESTART|RESTART|
|RESUME_GAME|RESUME|REPRENDRE|RIPRENDI|FORTSETZEN|REANUDAR|재시작|RESUME|
|RETRY|RETRY|REFAIRE|RIPROVA|NEUSTART|REINICIO|RETRY|RETRY|
|SFX|SFX :|SFX :|SFX :|SFX :|SFX :|SFX :|SFX：|
|SHOOT_TARGET|SHOOT TARGET|TIREZ LA CIBLE|SPARA ALL'OBIETTIVO|SCHIEßE AUF DAS ZIEL|DISPARAR OBJETIVO|TARGET 쏴|TARGETを撃つ|
|SLOT1|SLOT 1|EMPLACEMENT 1|SPAZIO 1|SPEICHERPLATZ 1|RANURA 1|SLOT 1|SLOT 1|
|SLOT2|SLOT 2|EMPLACEMENT 2|SPAZIO 2|SPEICHERPLATZ 2|RANURA 2|SLOT 2|SLOT 2|
|SLOT3|SLOT 3|EMPLACEMENT 3|SPAZIO 3|SPEICHERPLATZ 3|RANURA 3|슬롯 3|スロット3|
|SLOT4|SLOT 4|EMPLACEMENT 4|SPAZIO 4|SPEICHERPLATZ 4|RANURA 4|SLOT 4|スロット4|
|SOLDIERS|SOLDIERS|MILITAIRES|SOLDATI|SOLDATEN|SOLDADOS|군인|SOLDIERS|
|SPEAR|COMBI STICK|COMBI STICK|COMBI STICK|COMBI STICK|COMBI STICK|COMBI STICK|COMBI STICK|
|SPEAR_MULTILINE|COMBI\nSTICK|COMBI\nSTICK|COMBI\nSTICK|COMBI\nSTICK|COMBI\nSTICK|COMBI \ nSTICK|COMBI \ nSTICK|
|SPEED|SPEED|VITESSE|VELOCITÀ|GESCHW.|VELOCIDAD|SPEED|SPEED|
|SPIN_BLADE|DISC|DISQUE|DISCO|DISK|DISCO|DISC|DISC|
|STATS_PAGE_1|HUNTING GAMES COMPLETED\nWEAPON UPGRADES RECEIVED\nPREDATOR MASKS UNLOCKED\nHONOR POINTS\nTROPHY KILLS\nSTEALTH KILLS|ARMES\nMASQUES PREDATOR\nPOINTS D'|GIOCHI DI CACCIA COMPLETATI\nAGGIORNAMENTI DELLE ARMI\nMASCHERE DEL PREDATOR\nPUNTI D'ONORE\nUCCISIONI DA TROFEO\nUCCISIONI DI NASCOSTO|ABGESCHLOSSENE JAGDSPIELE\nERHALTENE WAFFENUPGRADES\nPREDATOR-MASKEN\nEHRENPUNKTE\nTROPHÄEN-TÖTUNGEN\nGETARNTE TÖTUNGEN|JUEGOS DE CAZA TERMINADOS\nMEJORA DE ARMAS RECIBIDA\nMÁSCARAS DESBLOQUEADAS\nPUNTOS DE HONOR\nMATANZAS DE TROFEO\nMATANZAS FURTIVAS|사냥 게임 \ nWEAPON 업그레이드가 \ nPREDATOR의 마스크 \ nHONOR 포인트 \ nTROPHY는 \ nSTEALTH 처치 KILLS 자물쇠로 열린 받아 완료|HUNTINGゲーム\ nWEAPONのアップグレードは\ nPREDATORマスクは\ nHONORポイント\ nTROPHY KILLS \ nSTEALTHキルをUNLOCKED受信完了|
|STATS_PAGE_2|OPPONENTS IMPALED\nBODIES SPLIT\nPERFECT SPLITS\nLONGEST SURVIVAL TIME\nPREDATOR DEATHS\nNET GUN CAPTURES\nMAX DISC COMBO|ENNEMIS EMPALÉS\nCORPS DÉCOUPÉS\nDECOUPE PARFAITE\nTEMPS DE SURVIE RECORD\nNOMBRE DE MORTS DU PREDATOR\nCAPTURES AVEC LE LANCE-FILET\nCOMBOS MAXIMUM AVEC LE DISQUE|AVVERSARI TRAFITTI\nCORPI SPEZZATI\nSPLIT PERFETTO\nTEMPO DI SOPRAVVIVENZA\nPREDATOR MORTI\nCATTURE CON PISTOLA LANCIARETE\nCOMBINAZIONE DISCO MASSIMA|AUFGESPIEßTE GEGNER\nGESPALTENE KÖRPER\nPERFEKTE SPALTUNG\nLÄNGSTE ÜBERLEBENSZEIT\nPREDATOR-TODE\nFÄNGE PER NETZKANONE\nMAXIMALE DISK-COMBO|OPONENTES ATRAVESADOS\nCUERPOS SEPARADOS\nCORTE PERFECTO\nSUPERVIVENCIA MÁS LARGO\nMUERTES DE PREDADORES\nCAPTURAS DE ARMAS DE RED\nCOMBINACIÓN DE DISCO MÁXIMA|상대 \ nBODIES 분할을 찔 \ nPERFECT 분할 \ nLONGEST 생존 TIME \ nPREDATOR 사망 \ nNET GUN 캡처 \ N 최대 DISC COMBO|相手が\ nBODIES分割を刺し\ nPERFECTの分割\ nLONGEST生存時間\ nPREDATOR死亡\ nNET GUNキャプチャ\ NMAX DISC COMBO|
|STORY_END|The hunt never ends;\nthe arrival of fresh prey looms in the sky.\nYou've evolved into the ultimate hunter, equipped\nwith the skills necessary to survive future battles.|arrête jamais vraiment ; on présage l'|è il presagio dell'|In diesem Moment findet die Jagd ein Ende.  Aber du weißt, dass die Jagd niemals enden wird; am Himmel erscheint neue Beute. Du bist zum ultimativen Jäger geworden, ausgerüstet mit den nötigen Fähigkeiten um zukünftige Kämpfe zu bestehen.|En este momento, la caza concluye. Pero tú sabes que la caza nunca termina, la llegada de nuevas presas se cierne en el cielo. Has evolucionado hasta convertirte en el cazador final, equipado con las habilidades necesarias para sobrevivir futuras batallas.|사냥은 결코 끝나지, 신선한 먹이의 \ n 도착 하늘에 아련히 갖춘 최고의 사냥꾼으로 진화 \ nYou've를, \ nwith를 미래의 전투를 생존을 위해 필요한 기술..|狩りは決して終わらない、新鮮な獲物の\ nの到着が空に織機装備究極のハンターへと進化\ nYou'veを、\ Nwithの今後の戦いを生き残るために必要なスキル。|
|STORY_INTRO_MISSION_DESCRIPTION|Our clan's leader now provides you the opportunity to observe the power of a skilled Predator, prior to honing your own skills.|un Prédateur d'|Il leader del nostro clan ti concederà l'opportunità di osservare un potente Predator prima di affinare le tue abilità.|Der Anführer unseres Clans gibt dir jetzt die Möglichkeit, die Macht eines erfahrenen Predators durch vorheriges Verbessern deines Geschicks zu erlangen.|El líder de nuestro plan te ofrece ahora la oportunidad de observar el poder de un Predator cualificado antes de perfeccionar tus propias habilidades.|우리 일족의 지도자는 지금 당신에게 전에 자신의 기술을 연마로, 숙련 된 프레데터의 힘을 관찰 할 수있는 기회를 제공합니다.|我々の一族のリーダーは今あなたの前に、あなた自身のスキルを磨くには、熟練したプレデターの力を観察する機会を提供します。|
|STORY_SLIDE_1|\tThe last thing the humans remember was the light that brought them here. On their planet they are the most dangerous killers. Here, on this planet, these human hunters are our prey.|\tLa dernière chose dont se souviennent les humains, c'est de la lumière qui les amenés ici. Sur leur planète, ils étaient des tueurs, les prédateurs de leur espèce. Ici, sur cette planète, ils sont nos proies. |\tL'ultima cosa che gli umani ricordano è la luce che li ha portati qui. Sul loro pianeta, erano dei pericolosi assassini. In questo pianeta, i cacciatori umani sono le nostre prede.|\tDas Letzte, woran sich die Menschen erinnern, war das Licht, das sie hierher führte. Auf ihrem Planeten sind sie die gefährlichsten Killer. Doch hier, auf diesem Planeten, sind diese menschlichen Jäger unsere Beute.|\tLo último que recuerdan los humanos fue la luz que los trajo aquí. En su planeta son los asesinos más peligrosos. Aquí, en este planeta, esos cazadores humanos son nuestras presas.|인간의 기억 \ 시키므로, 마지막 것은 여기에 가져 빛을했다. 자신의 행성에 그들은 가장 위험한 살인자입니다. 여기에,이 행성에, 이러한 인간 사냥꾼은 우리의 먹이입니다.|人間が覚えている\インターリーブ％最後のものは、ここでそれらを持って来た光だった。彼らの地球上で、彼らは最も危険な殺人者である。ここでは、この惑星に、これらの人間のハンターたちは獲物である。|
|STORY_SLIDE_2|\tThe humans are strangers here and to each other. Beware, they may soon bond and form their own clan that will prove as deadly as our own.|\tLes humains ne connaissent pas cette planète et ne se connaissent pas entre eux. Mais prenez garde, bientôt ils formeront un clan qui sera aussi redoutable que le nôtre.|Gli esseri umani presenti qui non si conoscono tra loro. Fai attenzione, perché in breve tempo formeranno un gruppo tanto forte quanto il nostro.|Die Menschen sind hier fremd und kennen sich auch untereinander nicht. Vorsicht, bald werden sie sich zu einem eigenen Clan verbünden, der so tödlich wie unserer sein wird. |Los humanos son extranjeros aquí y entre ellos. Cuidado, pueden unirse pronto y formar su propio clan que será tan mortal como el nuestro. |\ 시키므로, 인간은 여기 서로 낯선 사람이다. 조심, 그들은 채권 곧 수 있으며, 우리 자신처럼 치명적인 증명할 자신의 일족을 형성한다.|\インターリーブ％人間はここで、互いに見知らぬ人です。用心、彼らは債券もうすぐあり、私たち自身のように致命的な証明する自身の一族を形成している。|
|STORY_SLIDE_3|\tAs you hunt them down you will soon learn that some are more lethal, and the heads of these humans will be our most prized trophies.|entre eux sont plus dangereux que d'|Mentre darai loro la caccia, scoprirai che alcuni sono più letali di altri. Le teste di questi umani diventeranno i trofei più ambiti.|Wenn du die Menschen jagst, wirst du merken, dass einige von ihnen besonders gefährlich sind. Die Köpfe dieser Menschen werden unsere wertvollsten Trophäen sein.|Mientras cazas a los humanos pronto aprenderás que algunos son más letales. Las cabezas de estos humanos serán nuestros trofeos más preciados.|당신은 곧 몇 가지 더 치명적이며, 이러한 인간의 머리가 우리의 가장 소중한 트로피 될 것이라고 배우게됩니다 아래 \ TAS 당신이 그들을 사냥.|あなたはすぐにいくつかのより多くの致命的であり、これらの人間の頭が私達の最も大事なトロフィーになることを学びますダウン\ TASあなたがそれらを狩る。|
|STORY_SLIDE_4|Begin the hunt.\nEnd their lives.\nMake the humans suffer.|Que la chasse commence. Faites souffrir les humains, et tuez-les.|Inizia la caccia, fai terminare le loro vite. Fai soffrire gli esseri umani.|Beginne die Jagd. Beende ihr Leben. Lass die Menschen leiden.|Comienza la caza, termina con sus vidas. Haz sufrir a los humanos.|사냥을 시작합니다. \ 자신의 삶을 nEnd. \ n 작업 인간은 고통.|狩りを開始します。\命を数えます。\ NMAKE人間が苦しんでいます。|
|STORY_SLIDE_MISSIONSELECT|Your mission:\nBecome the supreme hunter in our clan.\n\n\nHone your tracking and hunting\nskills to lethal precision.|Votre mission : devenir le meilleur chasseur de notre clan. Affinez vos compétences de pisteur et de chasseur pour devenir le plus implacable des prédateurs.|La tua missione: diventa il miglior cacciatore nel nostro clan. Migliora le tue doti di inseguimento e di caccia per arrivare a una precisione letale.|Deine Mission: Werde oberster Jäger unseres Clans. Verbessere deine Jagdfähigkeiten bis zur tödlichen Präzision.|Tu misión se convierte en la caza suprema de nuestro clan. Domina tus habilidades de persecución y caza con precisión letal.|당신의 임무 :. 치명적인 정밀도 \ nBecome 최고의 사냥꾼 우리 일족의 \ N \ N \ nHone을 추적하고 사냥 \ nskills.|あなたの使命：\ nBecomeたちの一族で最高のハンター\ N \ N \ nHoneあなたの追跡と狩り\ nskills致死精度。|
|STORY_SLIDE2_MISSIONSELECT|Our most prized hunting trophies are\nthe heads of human prey.\n\n\nCollecting heads unlocks new\nweapons and sharpens your skills.\n\n\nObservations indicate that these four\nhumans are the most dangerous...|Nos trophées de chasse les plus prisés sont les têtes humaines. Collecter des têtes débloque de nouvelles armes et améliore vos compétences. Nos observations indiquent que ces quatre humains sont les plus dangereux.|I trofei più ambiti di questa caccia sono le teste dei predatori umani, perché collezionare le teste consente di ottenere nuove armi e migliorare le tue capacità. Dalle ricerche svolte, questo sono i quattro umani più pericolosi...|Unsere wertvollsten Jagdtrophäen sind die Köpfe der menschlichen Beute. Eingesammelte Köpfe schalten neue Waffen frei und stärken deine Fähigkeiten. Beobachtungen weisen darauf hin, dass diese vier Menschen die gefährlichsten sind...|Nuestros trofeos de caza más preciados son las cabezas de las presas humanas, coleccionar cabezas desbloquea nuevas armas y perfecciona tus habilidades. Las observaciones indican que estos cuatro humanos son más peligrosos.|우리의 가장 소중한 사냥 트로피 인간의 먹이의 \ n 머리입니다. \ n \ n \ nCollecting 헤드가 새 \ nweapons의 잠금을 해제하고 기술을 선명하게. \ n \ n \ nObservations 이러한 네 가지 \ nhumans이 가장 위험한 것을 나타냅니다 ...|我々の最も珍重狩猟トロフィーが人間の獲物の\ n頭です。\ N \ N \ nCollectingヘッドが新しい\ nweaponsのロックを解除し、あなたのスキルをシャープに。\ N \ N \ nObservationsこれらの4つの\ nhumansが最も危険であることを示している...|
|SUPER_SPLICE|SUPER SPLICE|SUPER COUPE|SUPER GIUNTURA|SUPERSPLEIßUNG|SÚPER EMPALME|SUPER SPLICE|SUPER SPLICE|
|SURVIVAL_TIME|SURVIVAL TIME|TEMPS DE SURVIE|TEMPO DI SOPRAVVIVENZA|ÜBERLEBENSZEIT|TIEMPO DE SUPERVIVENCIA|생존 시간|生存期間|
|THERMAL_VISION|THERMAL VISION|VISION THERMIQUE|VISIONE TERMICA|WÄRMESICHT|VISÓN TÉRMICA|THERMAL VISION|THERMAL VISION|
|TOS|Terms of Service|Conditions d'utilisation|Termini di servizio|Nutzungsbedingungen|Términos de servicio|서비스 약관|利用規約|
|TOTAL_KILLED_TROPHY_ROOM|TOTAL KILLS:|MORTS:|UCCISIONI:|TÖTUNGEN:|MATANZAS:|TOTAL 킬 :|トータルキル数：|
|TOTAL_KILLS|TOTAL KILLS|MORTS|UCCISIONI|TÖTUNGEN|MATANZAS|TOTAL 처치|合計キル数|
|TRAILER|TRAILER|TRAILER|TRAILER|TRAILER|TRAILER|트레일러|TRAILER|
|TROPHY_KILL|TROPHY KILL|PRISE DE TROPHÉE|TROFEO UCCISIONE|TROPHÄEN-TÖTUNG|MATANZA DE TROFEO|TROPHY KILL|TROPHY KILL|
|TROPHY_KILLS|TROPHY KILLS|TROPHÉES|TROFEO|TROPHÄEN|TROFEO|트로피 처치|TROPHYはKILLS|
|TROPHY_KILLS_TROPHY_ROOM|TROPHIES:|TROPHÉES:|TROFEI:|TROPHÄEN:|TROFEOS:|트로피 :|トロフィー：|
|TROPHY_ROOM|TROPHY ROOM|SALLE\nDES TROPHÉES|SALA DEI TROFEI|TROPHÄENRAUM|SALA DE TROFEOS|트로피 룸|トロフィールーム|
|UNLOCKED|UNLOCKED|DÉVERROUILLÉ.|SBLOCCATO.|FREIGESCHALTET.|DESBLOQUEADO.|자물쇠로 열었다|UNLOCKED|
|UPGRADE|UPGRADE|RÉVISER|UPGRADE|UPGRADE|MEJORAR|UPGRADE|UPGRADE|
|VERSION_DEMO|This version of PREDATORS has been created specifically for demonstration purposes.|Cette version de PREDATORS a été créée spécialement pour la démonstration.|Questa versione di PREDATORS è stata creata specificatamente a scopo dimostrativo.|Diese Version von Predators wurde speziell für Demonstrationszwecke erstellt.|Esta versión de PREDATORS se ha creado específicamente para demostración.|육식 동물이 버전은 데모 용으로 특별히 제작되었습니다.|PREDATORSのこのバージョンはデモ目的のために特別に作成されています。|
|WATCH_GAMEPLAY_TRAILER|WATCH GAMEPLAY TRAILER|WATCH GAMEPLAY TRAILER|WATCH GAMEPLAY TRAILER|WATCH GAMEPLAY TRAILER|WATCH GAMEPLAY TRAILER|게임 플레이 예고편|ゲームプレイトレーラーを見る|
|WAVE|WAVE|VAGUE|ONDA|WELLE|ONDA|WAVE|WAVE|
|WAVES_CLEARED|WAVES CLEARED|VAGUE NETTE|ONDE LIQUIDATI|WELLEN BEFREIT|ONDAS NETAS|파도 맑게|WAVESをクリア|
|WHIP|RAZOR WHIP|FOUET|FRUSTA|PEITSCHE|LATIGAZO|RAZOR 채찍|RAZORのWHIP|
|WHIP_DESCRIPTION|A segmented hand held razor whip, capable of instantly slicing targets in half. It also inflicts deadly cuts on multiple enemies.|Une main coupée tenant le razor whip, avec une action immédiate|Una mano rasoio frusta segmentato, capace di affettare i nemici a metà. Esso impone tagli su più nemici alla volta|Eine abgeschnittene Hand-Klingen-Peitsche, die es ermöglicht Feinde unmittelbar in zwei zu teilen. Außerdem verursacht sie tödliche Schnitte bei mehreren Feinden.|Una mano cortada sostiene el látigo cortante, capaz de cortar de inmediato los objetivos por la mitad. También provoca cortes mortales contra múltiples enemigos.|세그먼트 손은 즉시 반 목표를 깔끔히 할 수있는 면도칼 채찍을 개최했다. 또한 다수의 적을 치명적인 상처를 입 힙니다.|セグメント化された手は瞬時に半分のターゲットをスライスのできるかみそりの鞭を、開催しました。また、複数の敵に致命的なカットを負わせる。|
|WHIP_MULTILINE|RAZOR\nWHIP|FOUET|FRUSTA|PEITSCHE|LATIGAZO|RAZOR \ nWHIP|RAZOR \ nWHIP|
|WRIST_BLADES|WRIST BLADES|LAME DE POIGNET|LAMA AL POLSO|HANDGELENK-KLINGE|PUÑALES DE MUÑECA|손목 블레이드|手首BLADES|
|WRIST_BLADES_DESCRIPTION|Extendable metal claws are perfect for performing fast slashing and ripping attacks, and can kill an off-guard enemy with a single strike.|Ces griffes métalliques rétractables sont parfaites pour les attaques au corps à corps, elles peuvent tuer un ennemi pris par surprise en un seul coup. |Gli artigli estendibili di metallo sono perfetti per eseguire tagli rapidi e attacchi feroci, in grado di uccidere un nemico distratto con un solo colpo. |Ausfahrbare Metallkrallen sind perfekt für schnelle Schlitz- und Zerreiß-Attacken, und können überraschte Feinde mit nur einem Hieb töten.|Garras metálicas extensibles, son perfectas para realizar rápidos ataques de choque y de destrozo, y puede matar a un enemigo que no esté en guardia con un solo golpe.|확장 금속 클로 빠르고 파괴력과 공격을 추출을 수행하기위한 완벽한이며, 하나의 스트라이크 오프 가드 적을 죽일 수 있습니다.|拡張可能な金属製の爪は、高速斬撃や攻撃をリッピングを行うために完全である、単一のストライキで、オフガード敵を殺すことができる。|
|WRIST_BLADES_MULTILINE|WRIST\nBLADES|LAME\nDE POIGNET|LAMA\nAL POLSO|WRIST\nBLADES|PUÑALES\nDE MUÑECA|손목 \ nBLADES|WRIST \ nBLADES|
|YES|YES|OUI|SÌ|JA|SÍ|YES|YES|
|YOU_WERE_DETECTED|YOU WERE\nDETECTED!|VOUS AVEZ\nÉTÉ DÉTECTÉ!|SEI STATO\nINDIVIDUATO!|DU WURDEST\nBEMERKT!|¡FUISTE\nDETECTADO!|당신은 \ nDETECTED했다!|使用していた\ nDETECTED！|
|UNLOCK|UNLOCK|UNLOCK|UNLOCK|UNLOCK|UNLOCK|잠금 해제|UNLOCK|
|WAVE_ATTACK|WAVE ATTACK|WAVE ATTACK|WAVE ATTACK|WAVE ATTACK|WAVE ATTACK|WAVE 공격|WAVEのATTACK|
|SURVIVAL|SURVIVAL|SURVIVAL|SURVIVAL|SURVIVAL|SURVIVAL|생존|SURVIVAL|
|English|ENGLISH|ENGLISH|ENGLISH|ENGLISH|ENGLISH|ENGLISH|ENGLISH|
|German|DEUTSCH|DEUTSCH|DEUTSCH|DEUTSCH|DEUTSCH|DEUTSCH|DEUTSCH|
|Italian|ITALIANO|ITALIANO|ITALIANO|ITALIANO|ITALIANO|ITALIANO|ITALIANO|
|French|FRANÇAIS|FRANÇAIS|FRANÇAIS|FRANÇAIS|FRANÇAIS|FRANÇAIS|FRANÇAIS|
|Spanish|ESPAÑOL|ESPAÑOL|ESPAÑOL|ESPAÑOL|ESPAÑOL|ESPAÑOL|ESPAÑOL|
|Korean|한국|한국|한국|한국|한국|한국|한국|
|Japanese|日本の|日本の|日本の|日本の|日本の|日本の|日本の|
|POINTS|HONOR POINTS|points d'honneur|Punti onore|Ehrenpunkte|Puntos de honor|POINTS|POINTS|
|ALL_RIGHTS_RESERVED|All Rights Reserved.|Tous droits réservés.|Tutti i diritti riservati.|Alle Rechte vorbehalten.|Todos los derechos reservados.|판권 소유.|無断複写·転載を禁じます。|
|DEVELOPED_BY_ANGRY_MOB_GAMES|Developed by Angry Mob Games|Développé par Angry Mob Games|Sviluppato da Angry Mob Games|Entwickelt von Angry Mob Games|Desarrollado por Angry Mob Games|성난 폭도 게임으로 개발|怒っている暴徒のゲームによって開発された|
|MUSIC_BY|Music by|Musique|Musiche di|Musik von|Música de|뮤직|音楽担当|
|SPECIAL_THANKS_TO|Special thanks to|Un merci spécial à|Un ringraziamento speciale a|Besonderer Dank geht an|Un agradecimiento especial a|특별 감사에|特別な感謝へ|
|TRANSACTION_IN_PROGRESS|Transaction in progress..|Opération en cours ..|Operazione in corso ..|Transaktion im Gange ..|Transacción en curso ..|진행중인 트랜잭션이 ..|進行中のトランザクション..|
|POINTS_RECEIVED|Points received:|Points reçus:|Punti ricevuti:|Punkte erhalten:|Puntos recibidos:|포인트 수신 :|ポイントは、受信：|
|PURCHASE_CANCELED|Purchase canceled|Achat annulé|Acquisto annullato|Kauf abgebrochen|Compra cancelado|취소 구매|キャンセル購入|
|PURCHASE_FAILED|Purchase failed|Achat échoué|Acquisto fallito|Kauf gescheitert|Fallado Compra|구매 실패|購入に失敗しました|
|PURCHASE_NOT_AVAILABLE|Purchase not available|Acheter pas disponible|Acquisto non disponibile|Kauf nicht verfügbar|Compra no disponible|구입 사용할 수 없습니다|購入は利用できません|
|POINTS_SIMPLE|POINTS|POINTS|PUNTI|PUNKTE|PUNTOS|포인트|POINTS|
